Date,Impressions,event,rate
31-05-2025,5,EORS,200
01-06-2025,5,EORS,200
02-06-2025,4.5,EORS,200
03-06-2025,4.5,EORS,200
04-06-2025,4.5,EORS,200
05-06-2025,4.5,EORS,200
06-06-2025,5,EORS,200
07-06-2025,5,EORS,200
08-06-2025,5,EORS,200
09-06-2025,5,EORS,200
10-06-2025,4.5,ALL,200
11-06-2025,4.5,ALL,200
12-06-2025,4.5,ALL,200
13-06-2025,4,ALL,200
14-06-2025,4,ALL,200
15-06-2025,4,ALL,200
16-06-2025,4,ALL,200
17-06-2025,4,ALL,200
18-06-2025,3.5,ALL,200
19-06-2025,3.5,ALL,200
20-06-2025,4.5,ALL,200
21-06-2025,4.5,ALL,200
22-06-2025,4.5,ALL,200
23-06-2025,3.5,ALL,200
24-06-2025,3.5,ALL,200
25-06-2025,3.5,ALL,200
26-06-2025,3.5,ALL,200
27-06-2025,4.5,ALL,200
28-06-2025,4.5,ALL,200
29-06-2025,4.5,ALL,200
30-06-2025,3.5,ALL,200
